party,question,answer,answer_03,answer_05,answer_07
SPD,Deutschland soll die Ukraine weiterhin militärisch unterstützen.,stimme zu,stimme zu,stimme zu,stimme zu
Union,Deutschland soll die Ukraine weiterhin militärisch unterstützen.,stimme zu,stimme zu,stimmte zu,stimme zu
GRÜNE,Deutschland soll die Ukraine weiterhin militärisch unterstützen.,stimme zu,stimme zu,stimme zu,stimmte zu
FDP,Deutschland soll die Ukraine weiterhin militärisch unterstützen.,stimme zu,stimmte zu,stimme zu,stimme zu
AfD,Deutschland soll die Ukraine weiterhin militärisch unterstützen.,stimme nicht zu,stimmte zu,stimmte zu,stimme nicht zu
LINKE,Deutschland soll die Ukraine weiterhin militärisch unterstützen.,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimmte nicht zu
SPD,Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.,stimme zu,stimme zu,stimme zu,stimme nicht zu
Union,Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.,stimme zu,stimmte zu,stimmte zu,stimme zu
GRÜNE,Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.,stimme zu,stimme zu,stimme zu,stimme zu
FDP,Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.,stimme nicht zu,stimme zu,stimme zu,stimme zu
AfD,Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.,stimme nicht zu,stimmte zu,stimmte zu,stimme nicht zu
LINKE,Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.,stimme zu,stimme zu,stimmte zu,stimme zu
SPD,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",stimme zu,stimmte zu,stimmte nicht zu,stimme nicht zu
Union,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",stimme zu,stimmte zu,stimmte zu,stimmte zu
GRÜNE,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",stimme nicht zu,stimmte zu,stimmte zu,stimme nicht zu
FDP,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",stimme zu,stimmte zu,stimme nicht zu,stimmte zu
AfD,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",stimme zu,stimmte zu,stimmte zu,stimmte zu
LINKE,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",stimme nicht zu,stimme nicht zu,stimmte zu,stimme nicht zu
SPD,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme zu,stimmte zu,stimmte zu,stimmte zu
Union,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme nicht zu,stimmte zu,stimmte zu,stimmte nicht zu
GRÜNE,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme zu,stimmte zu,stimme nicht zu,stimmmt zu
FDP,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme nicht zu,stimmte zu,stimme nicht zu,stimmte zu
AfD,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme nicht zu,stimmte zu,stimme nicht zu,stimmte zu
LINKE,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme zu,stimmte zu,stimmte zu,stimmte zu
SPD,"Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.",stimme nicht zu,stimme nicht zu,stimmte zu,stimmte zu
Union,"Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.",stimme zu,stimmte zu,stimme nicht zu,stimmte zu
GRÜNE,"Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.",stimme nicht zu,stimmte zu,stimme nicht zu,stimmte zu
